"Time [ns]","Distance [mm]","By [T]"
60000000,39.3753,-0.000151211474630327
60000000,39.900304,-0.000155186985756821
60000000,40.425308,-0.000159142737267881
60000000,40.950312,-0.000163623455459292
60000000,41.475316,-0.000168104173650704
60000000,42.00032,-0.000172584891842115
60000000,42.525324,-0.000177065610033526
60000000,43.050328,-0.000182033797974475
60000000,43.575332,-0.000187108094540373
60000000,44.100336,-0.00019218239110627
60000000,44.62534,-0.000197256687672168
60000000,45.150344,-0.000202330984238066
60000000,45.675348,-0.000208303699104402
60000000,46.200352,-0.000214036255455091
60000000,46.725356,-0.00021976881180578
60000000,47.25036,-0.00022550136815647
60000000,47.775364,-0.000231233924507159
60000000,48.300368,-0.000236342549951133
60000000,48.825372,-0.000242726046173933
60000000,49.350376,-0.000249109542396734
60000000,49.87538,-0.000255493038619534
60000000,50.400384,-0.000261876534842334
60000000,50.925388,-0.000267573094157572
60000000,51.450392,-0.000274837641689576
60000000,51.975396,-0.00028210218922158
60000000,52.5004,-0.000289366736753585
60000000,53.025404,-0.00029663128428559
60000000,53.550408,-0.000303895831817594
60000000,54.075412,-0.000312090802985874
60000000,54.600416,-0.000320238664345556
60000000,55.12542,-0.000328386525705238
60000000,55.650424,-0.00033653438706492
60000000,56.175428,-0.000344682248424602
60000000,56.700432,-0.00035476157486953
60000000,57.225436,-0.000363999304684069
60000000,57.75044,-0.000373237034498609
60000000,58.275444,-0.000382474764313149
60000000,58.800448,-0.000391712494127688
60000000,59.325452,-0.000400730872093861
60000000,59.850456,-0.000411211389993801
60000000,60.37546,-0.00042169190789374
60000000,60.900464,-0.000432172425793679
60000000,61.425468,-0.000442652943693619
60000000,61.950472,-0.000453605514716801
60000000,62.475476,-0.000465429436229302
60000000,63.00048,-0.000477253357741803
60000000,63.525484,-0.000489077279254305
60000000,64.050488,-0.000500901200766805
60000000,64.575492,-0.000514529388448743
60000000,65.100496,-0.000527922166884662
60000000,65.6255,-0.000541314945320581
60000000,66.150504,-0.000554707723756499
60000000,66.675508,-0.000568100502192418
60000000,67.200512,-0.000582483507039627
60000000,67.725516,-0.000597392705206222
60000000,68.25052,-0.000612301903372814
60000000,68.775524,-0.000627211101539406
60000000,69.300528,-0.000642120299706
60000000,69.825532,-0.000655599878993361
60000000,70.350536,-0.000672594586829953
60000000,70.87554,-0.000689589294666543
60000000,71.400544,-0.000706584002503135
60000000,71.925548,-0.000723578710339726
60000000,72.450552,-0.00074183427626753
60000000,72.975556,-0.000760826654821819
60000000,73.50056,-0.000779819033376104
60000000,74.025564,-0.00079881141193039
60000000,74.550568,-0.000817803790484677
60000000,75.075572,-0.000841145768680441
60000000,75.600576,-0.00086288191668951
60000000,76.12558,-0.000884618064698578
60000000,76.650584,-0.000906354212707647
60000000,77.175588,-0.000928090360716716
60000000,77.700592,-0.000948777943892156
60000000,78.225596,-0.000973386159462079
60000000,78.7506,-0.000997994375032003
60000000,79.275604,-0.00102260259060192
60000000,79.800608,-0.00104721080617185
60000000,80.325612,-0.00107181902174177
60000000,80.850616,-0.00109793937130882
60000000,81.37562,-0.00112608403633315
60000000,81.900624,-0.00115422870135749
60000000,82.425628,-0.00118237336638182
60000000,82.950632,-0.00121051803140615
60000000,83.475636,-0.00124366911258616
60000000,84.00064,-0.00127582455740724
