"Distance [mm]","By [T]"
258.5742576382888, 0.11707461690312862
257.6782714631489, 0.06741510800562389
260.8640000858687, 0.17226648488205296
265.74214703940834, 0.15936601038002762
266.46746918118833, 0.1266209680346274
265.4434849810284, 0.1835642061046176
264.8461608642684, 0.17806228963401638
268.13144350644825, 0.09455001207163444
269.3260917399681, 0.06820544501725528
271.7352990108999, 0.046547701892169474
277.9872914329875, 0.05966501537035379
279.1359916575259, 0.041945315677794
282.61655333787724, 0.05621866700751274
284.2591946589671, 0.020873039542887384
285.45384289248705, 0.002045455621357717
284.85651877572707, 0.038962975586894405
287.3738132677869, -0.021679708765900307
288.0422473984469, -0.0490571501159035
289.9337737681867, -0.07863716453874525
291.8964101518267, -0.10473140444168538
293.66704949793643, -0.12582229133824724
298.4157762261782, -0.10944977016554708
299.34162860715605, -0.08823444849988255
297.99764934444613, -0.1275907226727388
300.93449291851596, -0.06759201662571784
304.16999855096583, -0.09773605568416194
305.96197090124565, -0.1294122613090702
304.9863415105377, -0.07321219093065207
307.8534972709855, -0.1602604948265552
309.7948006504554, -0.1836373254938719
314.0656680852891, -0.15610223490927344
315.021386672105, -0.12178962112951586
312.6320902050652, -0.19418644284436115
314.1254004969651, -0.1827324105239405
316.5146969640049, -0.08869945101677879
318.0080072559048, -0.06225394872632428
320.1484186742946, -0.04711998810194462
326.5198759197343, -0.04144691557903618
326.81853797811425, -0.057173994858903954
331.7464619413839, -0.02579782458100388
332.94111017490377, -0.00936550542276765
330.999806795434, -0.04929132404527581
333.8370963500438, 0.011511936716231352
335.6290687003236, 0.03759138542914259
336.4255008560036, 0.06792443630200859
338.31702722574346, 0.1016630451763168
340.2796636093833, 0.13538409100592214
342.5978500625231, 0.16105373534243198
346.32117039032687, 0.14538499046104167
347.4475530105028, 0.11983494209560411
346.20170556697497, 0.1627865387862405
349.29285787120773, 0.09257416954255598
350.49324960585034, 0.0722914584173158
354.80317284831835, 0.09649951003365848
356.40741476190226, 0.11174925084856485
354.74344043664235, 0.0747501881754789
359.07404028315204, 0.12573068893528178
361.5131137599219, 0.09199918891240091
363.1657104829577, 0.06773124281027645
362.0606608669518, 0.11465656199849453
364.89795042156163, 0.045900378244547596
366.0925986550816, 0.028214392228707696
367.8845710053614, 0.012497139890518871
369.3115119509547, -0.004164056405829952
371.6818457476212, -0.02040638802493866
372.5351659144211, -0.034149470504973134
375.7493385427009, -0.04399548063252229
381.27458662273045, -0.03351176471516476
380.8763705448905, -0.046340732535185336
386.7002806833002, -0.031092497124110663
388.5382010425616, -0.04817539520492109
394.6284007784777, -0.04434379154331436
396.58931328299286, -0.0310193921121118
399.3720851602793, -0.015791787636617538
399.84141125201927, -0.03164046411884175
404.7527428787122, -0.010284638095553744
411.5770733107149, -0.0040502491880539115
418.358458871578, 0.0029108347330834006
424.92902415593755, 0.004523441564896924
431.4995894402971, 0.0050503329059845
438.0701547246566, 0.005529325034245969
444.64072000901626, 0.005481425821419805
451.2112852933758, 0.004715038416201467
457.7818505777353, 0.003022599563011097
464.35241586209486, 0.0012662950927191385
470.9229811464544, 0.0003562100490224207
477.4935464308139, -0.0003143789305436462
484.06411171517357, -0.0006975726331527876
490.6346769995331, -0.0006017742075004606
497.20524228389263, -0.00012278207923904771
503.77580756825216, 0.00016461319771782223
510.3463728526117, 0.0004520084746746922
516.9169381369712, 0.0008352021772838336
523.4875034213309, 0.0007394037516315621
528.5647584137905, 0.00009846666571983187
