"Time [ns]","Distance [mm]","Bx [T]"
16000000,163.276244,0.00799022265991225
16000000,163.801248,0.00216381669334339
16000000,164.326252,0.00421908163028486
16000000,164.851256,0.00627434656722639
16000000,165.37626,0.00832961150416797
16000000,165.901264,0.0103848764411095
16000000,166.426268,0.0116457972018629
16000000,166.951272,0.0178719570546447
16000000,167.476276,0.0240981169074266
16000000,168.00128,0.0303242767602087
16000000,168.526284,0.0365504366129906
16000000,169.051288,0.0275121494564859
16000000,169.576292,0.033928274921819
16000000,170.101296,0.0403444003871515
16000000,170.6263,0.0467605258524846
16000000,171.151304,0.0531766513178174
16000000,171.676308,0.0571251884043346
16000000,172.201312,0.0534545145100091
16000000,172.726316,0.0497838406156836
16000000,173.25132,0.046113166721358
16000000,173.776324,0.0424424928270325
16000000,174.301328,0.0431298141749231
16000000,174.826332,0.041132768841871
16000000,175.351336,0.0391357235088189
16000000,175.87634,0.037138678175767
16000000,176.401344,0.0356495131952409
16000000,176.926348,0.0344820232596034
16000000,177.451352,0.0333145333239659
16000000,177.976356,0.0312209798842048
16000000,178.50136,0.0276961472076391
16000000,179.026364,0.0241713145310731
16000000,179.551368,0.0176543011481649
16000000,180.076372,0.0135242174596628
16000000,180.601376,0.00939413377116105
16000000,181.12638,0.00526405008265914
16000000,181.651384,0.00113396639415734
16000000,182.176388,-0.00317472558792919
16000000,182.701392,-0.00484039154554255
16000000,183.226396,-0.00650605750315587
16000000,183.7514,-0.0121257693667465
16000000,184.276404,-0.017213161698302
16000000,184.801408,-0.0223005540298579
16000000,185.326412,-0.017955802969889
16000000,185.851416,-0.0220429996880716
16000000,186.37642,-0.0261301964062543
16000000,186.901424,-0.0302173931244367
16000000,187.426428,-0.0343045898426194
16000000,187.951432,-0.0310326429629598
16000000,188.476436,-0.0297020605885401
16000000,189.00144,-0.0283714782141204
16000000,189.526444,-0.0270408958397008
16000000,190.051448,-0.0257103134652811
16000000,190.576452,-0.0253320548395423
16000000,191.101456,-0.0225861648158051
16000000,191.62646,-0.019840274792068
16000000,192.151464,-0.0170943847683308
16000000,192.676468,-0.0143484947445938
16000000,193.201472,-0.0133713136916618
16000000,193.726476,-0.00739806775704763
16000000,194.25148,-0.00142482182243361
16000000,194.776484,0.00454842411218058
16000000,195.301488,0.0105216700467946
16000000,195.826492,-0.00813462797837191
16000000,196.351496,-0.0165743500711949
16000000,196.8765,-0.0133744335131751
16000000,197.401504,-0.0159283507777433
16000000,197.926508,-0.0184822680423114
16000000,198.451512,-0.0209090585594882
16000000,198.976516,-0.031400459061972
16000000,199.50152,-0.0418918595644561
16000000,200.026524,-0.05238326006694
16000000,200.551528,-0.062874660569424
16000000,201.076532,-0.0599391886834415
16000000,201.601536,-0.0717963301836466
16000000,202.12654,-0.0836534716838525
16000000,202.651544,-0.0955106131840582
16000000,203.176548,-0.107367754684264
16000000,203.701552,-0.107879165482869
16000000,204.226556,-0.103008960315738
16000000,204.75156,-0.0981387551486066
16000000,205.276564,-0.0932685499814752
16000000,205.801568,-0.0883983448143437
16000000,206.326572,-0.0847692567953896
16000000,206.851576,-0.08089450012505
16000000,207.37658,-0.0770197434547104
16000000,207.901584,-0.0746789523647499
16000000,208.426588,-0.0706705777660008
16000000,208.951592,-0.0667844071957712
16000000,209.476596,-0.0618896060172306
16000000,210.0016,-0.0569948048386904
16000000,210.526604,-0.0500243723190742
16000000,211.051608,-0.0418717182356106
16000000,211.576612,-0.0338216675289375
16000000,212.101616,-0.0298635459084372
16000000,212.62662,-0.0259054242879371
16000000,213.151624,-0.0219473026674368
16000000,213.676628,-0.0205346668641733
16000000,214.201632,-0.0198267190724994
16000000,214.726636,-0.0191187712808256
16000000,215.25164,-0.0217019483241147
16000000,215.776644,-0.0304893453494341
16000000,216.301648,-0.0392767423747539
16000000,216.826652,-0.0480641394000738
16000000,217.351656,-0.0410453694334767
16000000,217.87666,-0.053316958334341
16000000,218.401664,-0.0655885472352046
16000000,218.926668,-0.071018434313267
16000000,219.451672,-0.0680934667964876
16000000,219.976676,-0.0677359268057777
16000000,220.50168,-0.0655130443953687
16000000,221.026684,-0.0632901619849597
16000000,221.551688,-0.0623742212625355
16000000,222.076692,-0.0613812421319176
16000000,222.601696,-0.0605372810738842
16000000,223.1267,-0.0601935815243382
16000000,223.651704,-0.0598498819747923
16000000,224.176708,-0.0587483897513537
16000000,224.701712,-0.0600733964058797
16000000,225.226716,-0.0613984030604057
16000000,225.75172,-0.0579729783689872
16000000,226.276724,-0.0585747028906283
16000000,226.801728,-0.0591764274122695
16000000,227.326732,-0.043172935891177
16000000,227.851736,-0.0281506112891223
16000000,228.37674,-0.0280881163344058
16000000,228.901744,-0.017042782391933
16000000,229.426748,-0.0109473579526002
16000000,229.951752,-0.00606253002597899
16000000,230.476756,-0.00117770209935754
16000000,231.00176,0.00701828791600748
16000000,231.526764,0.0136213621712735
16000000,232.051768,0.0202244364265396
16000000,232.576772,0.0268275106818053
16000000,233.101776,0.0266512050670592
16000000,233.62678,0.0292450948912472
16000000,234.151784,0.0318389847154352
16000000,234.676788,0.0344328745396232
16000000,235.201792,0.0370267643638112
16000000,235.726796,0.0389393361081025
16000000,236.2518,0.0351749751151329
16000000,236.776804,0.0314106141221633
16000000,237.301808,0.0276462531291938
16000000,237.826812,0.0238818921362242
16000000,238.351816,0.0201175311432548
16000000,238.87682,0.0198721250299032
16000000,239.401824,0.0148508507590589
16000000,239.926828,0.00982957648821466
16000000,240.451832,0.00480830221737042
16000000,240.976836,-0.000212972053473824
16000000,241.50184,-0.00489723877495519
16000000,242.026844,-0.0126091217647171
16000000,242.551848,-0.0135165455039278
16000000,243.076852,-0.0196672943014048
16000000,243.601856,-0.0222189158812957
16000000,244.12686,-0.0117968878588497
16000000,244.651864,-0.0013748598364033
16000000,245.176868,0.00883120144068885
16000000,245.701872,0.0122922687607234
16000000,246.226876,0.0157533360807577
16000000,246.75188,0.0234226763950177
16000000,247.276884,0.0349429194479754
16000000,247.801888,0.0464631625009338
16000000,248.326892,0.0579834055538922
16000000,248.851896,0.0695036486068507
16000000,249.3769,0.0694387568302204
16000000,249.901904,0.0788306185789463
16000000,250.426908,0.0882224803276726
16000000,250.951912,0.097614342076399
16000000,251.476916,0.107006203825125
16000000,252.00192,0.104097073377198
16000000,252.526924,0.0978599262445919
16000000,253.051928,0.0916227791119852
16000000,253.576932,0.0853856319793785
16000000,254.101936,0.0791484848467718
16000000,254.62694,0.0808723609238337
16000000,255.151944,0.0758203479502761
16000000,255.676948,0.0707683349767187
16000000,256.201952,0.0657163220031611
16000000,256.726956,0.0606643090296032
16000000,257.25196,0.0561229651763807
16000000,257.776964,0.0495355735479445
16000000,258.301968,0.0429481819195076
16000000,258.826972,0.0415025225627008
16000000,259.351976,0.0323519298130786
16000000,259.87698,0.0262377714669257
16000000,260.401984,0.0213381868821599
16000000,260.926988,0.0164386022973936
16000000,261.451992,0.0177425227699945
16000000,261.976996,0.0171046784555621
16000000,262.502,0.0164668341411298
16000000,263.027004,0.0212524670985821
16000000,263.552008,0.0272230004442718
16000000,264.077012,0.0331935337899608
16000000,264.602016,0.0391640671356505
16000000,265.12702,0.0451346004813396
16000000,265.652024,0.066831560325366
16000000,266.177028,0.0672175048923518
16000000,266.702032,0.0676034494593375
16000000,267.227036,0.0728982950066958
16000000,267.75204,0.0693272927012638
16000000,268.277044,0.0657562903958318
16000000,268.802048,0.0642775233727813
16000000,269.327052,0.0622756242996489
16000000,269.852056,0.0602737252265164
16000000,270.37706,0.0588302389815634
16000000,270.902064,0.0578519547823487
16000000,271.427068,0.056873670583134
16000000,271.952072,0.0564028374750771
16000000,272.477076,0.0567022383500679
16000000,273.00208,0.0542376627905142
16000000,273.527084,0.0554427669404043
16000000,274.052088,0.0566478710902942
16000000,274.577092,0.049967173283546
16000000,275.102096,0.0464832899777374
16000000,275.6271,0.0478636671024653
16000000,276.152104,0.0342434436049969
16000000,276.677108,0.0206232201075298
16000000,277.202112,0.00848421248797178
16000000,277.727116,0.00491400696300003
16000000,278.25212,0.00134380143802868
16000000,278.777124,-0.00521018056622023
16000000,279.302128,-0.0106589933309661
16000000,279.827132,-0.0161078060957119
16000000,280.352136,-0.0215566188604583
16000000,280.87714,-0.0270054316252042
16000000,281.402144,-0.0342310617872023
16000000,281.927148,-0.0350738000044741
16000000,282.452152,-0.035916538221746
16000000,282.977156,-0.0367592764390179
16000000,283.50216,-0.0376020146562897
16000000,284.027164,-0.0391782932194701
16000000,284.552168,-0.0354337114321993
16000000,285.077172,-0.0316891296449282
16000000,285.602176,-0.0279445478576574
16000000,286.12718,-0.0241999660703866
16000000,286.652184,-0.0255158081247281
16000000,287.177188,-0.0201598960423651
16000000,287.702192,-0.0148039839600015
16000000,288.227196,-0.00944807187763855
16000000,288.7522,-0.00409215979527556
16000000,289.277204,0.00126375228708803
16000000,289.802208,0.000107590232678657
16000000,290.327212,0.0078240339814615
16000000,290.852216,0.0155404777302435
16000000,291.37722,0.0232569214790255
16000000,291.902224,0.0102867537967594
16000000,292.427228,0.00240789456247073
16000000,292.952232,-0.00547096467181878
16000000,293.477236,-0.00994903651101585
16000000,294.00224,-0.0134102748004092
16000000,294.527244,-0.0168715130898029
16000000,295.052248,-0.0270698070720472
16000000,295.577252,-0.042919968918501
16000000,296.102256,-0.0587701307649549
16000000,296.62726,-0.0746202926114106
16000000,297.152264,-0.0904704544578645
16000000,297.677268,-0.117739405545457
16000000,298.202272,-0.113089926960508
16000000,298.727276,-0.10844044837556
16000000,299.25228,-0.103790969790611
16000000,299.777284,-0.0991414912056626
16000000,300.302288,-0.105585539536493
16000000,300.827292,-0.0993892162567443
16000000,301.352296,-0.093192892976996
16000000,301.8773,-0.0869965696972472
16000000,302.402304,-0.080800246417499
16000000,302.927308,-0.0800362599728357
16000000,303.452312,-0.0749078546777039
16000000,303.977316,-0.0697794493825726
16000000,304.50232,-0.0646510440874408
16000000,305.027324,-0.0595226387923095
16000000,305.552328,-0.0564840385537441
16000000,306.077332,-0.0482183430745929
16000000,306.602336,-0.0399526475954426
16000000,307.12734,-0.0316869521162914
16000000,307.652344,-0.0290900870610094
16000000,308.177348,-0.0252481762860714
16000000,308.702352,-0.0214062655111329
16000000,309.227356,-0.018886332308002
16000000,309.75236,-0.0181533471934312
16000000,310.277364,-0.0187905080060467
16000000,310.802368,-0.0201055873399024
16000000,311.327372,-0.021420666673758
16000000,311.852376,-0.0268265209776973
16000000,312.37738,-0.0436832288204871
16000000,312.902384,-0.0605399366632752
16000000,313.427388,-0.077396644506065
16000000,313.952392,-0.0611459528133516
16000000,314.477396,-0.0636761464962966
16000000,315.0024,-0.066206340179242
16000000,315.527404,-0.068736533862187
16000000,316.052408,-0.0712667275451324
16000000,316.577412,-0.0674303221676406
16000000,317.102416,-0.0651616627939066
16000000,317.62742,-0.0628930034201723
16000000,318.152424,-0.0606243440464383
16000000,318.677428,-0.0583556846727041
16000000,319.202432,-0.0593631961327042
16000000,319.727436,-0.0591720853398817
16000000,320.25244,-0.0589809745470593
16000000,320.777444,-0.0587898637542368
16000000,321.302448,-0.0585987529614144
16000000,321.827452,-0.0529643635035509
16000000,322.352456,-0.0511517983312268
16000000,322.87746,-0.0493392331589029
16000000,323.402464,-0.047526667986579
16000000,323.927468,-0.0246331740218808
16000000,324.452472,-0.006716797852172
16000000,324.977476,-0.0171655003699377
16000000,325.50248,-0.0111576636137746
16000000,326.027484,-0.0034818736967979
16000000,326.552488,-0.00133046039678172
16000000,327.077492,0.000820952903234288
16000000,327.602496,0.00297236620325046
16000000,328.1275,0.0111905407000322
16000000,328.652504,0.0174235904274341
16000000,329.177508,0.0236566401548369
16000000,329.702512,0.0330288154528886
16000000,330.227516,0.0308858887442169
16000000,330.75252,0.0287429620355453
16000000,331.277524,0.0266000353268738
16000000,331.802528,0.0267694246711582
16000000,332.327532,0.0242997327834557
16000000,332.852536,0.0226908190161307
16000000,333.37754,0.020348079803272
16000000,333.902544,0.0180053405904135
16000000,334.427548,0.0162607189053467
16000000,334.952552,0.0138368494462222
16000000,335.477556,0.0112938504010105
16000000,336.00256,0.00860606644970125
16000000,336.527564,0.00553973752719374
16000000,337.052568,0.00122463886068014
16000000,337.577572,-0.00309045980583334
16000000,338.102576,0.00103795835737169
16000000,338.62758,-0.0018175346195462
16000000,339.152584,-0.00467302759646446
16000000,339.677588,-0.00843787435304635
16000000,340.202592,-0.00442298538432594
16000000,340.727596,-0.000408096415605112
16000000,341.2526,0.00360679255311519
16000000,341.777604,0.0053724543739726
